"pollster","pollster_rating_name","sample_size","candidate_name","pct"
"SoCal Strategies","SoCal Research",501,"Kamala Harris",43.1
"SoCal Strategies","SoCal Research",501,"Donald Trump",50.4
"SoCal Strategies","SoCal Research",435,"Kamala Harris",44
"SoCal Strategies","SoCal Research",435,"Donald Trump",52.2
"InsiderAdvantage","InsiderAdvantage",800,"Kamala Harris",47.7
"InsiderAdvantage","InsiderAdvantage",800,"Donald Trump",48.7
"Research Co.","Research Co.",450,"Kamala Harris",44
"Research Co.","Research Co.",450,"Donald Trump",51
"Research Co.","Research Co.",450,"Kamala Harris",49
"Research Co.","Research Co.",450,"Donald Trump",47
"Research Co.","Research Co.",450,"Kamala Harris",51
"Research Co.","Research Co.",450,"Donald Trump",44
"Research Co.","Research Co.",450,"Donald Trump",54
"Research Co.","Research Co.",450,"Kamala Harris",57
"Research Co.","Research Co.",450,"Donald Trump",40
"Research Co.","Research Co.",450,"Donald Trump",41
"Research Co.","Research Co.",450,"Kamala Harris",48
"Research Co.","Research Co.",450,"Donald Trump",45
"Research Co.","Research Co.",450,"Kamala Harris",54
"Research Co.","Research Co.",450,"Donald Trump",46
"Victory Insights","Victory Insights",750,"Kamala Harris",48.4
"Victory Insights","Victory Insights",750,"Donald Trump",49.2
"Research Co.","Research Co.",1003,"Kamala Harris",48
"Research Co.","Research Co.",1003,"Donald Trump",46
"Patriot Polling","Patriot Polling",1115,"Kamala Harris",49.4
"Patriot Polling","Patriot Polling",1115,"Donald Trump",48.1
"Patriot Polling","Patriot Polling",903,"Kamala Harris",48.7
"Patriot Polling","Patriot Polling",903,"Donald Trump",49.6
"Patriot Polling","Patriot Polling",858,"Kamala Harris",49.2
"Patriot Polling","Patriot Polling",858,"Donald Trump",48.5
"Patriot Polling","Patriot Polling",835,"Kamala Harris",49
"Patriot Polling","Patriot Polling",835,"Donald Trump",48.7
"Patriot Polling","Patriot Polling",799,"Kamala Harris",48.9
"Patriot Polling","Patriot Polling",799,"Donald Trump",50.5
"Patriot Polling","Patriot Polling",818,"Kamala Harris",48.6
"Patriot Polling","Patriot Polling",818,"Donald Trump",50.4
"Patriot Polling","Patriot Polling",801,"Kamala Harris",47.6
"Patriot Polling","Patriot Polling",801,"Donald Trump",51.1
"Patriot Polling","Patriot Polling",792,"Kamala Harris",49.4
"Patriot Polling","Patriot Polling",792,"Donald Trump",49.5
"Trafalgar Group","Trafalgar Group",1089,"Kamala Harris",46.7
"Trafalgar Group","Trafalgar Group",1089,"Donald Trump",48.4
